LAPANGAN TERBANG Airport,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,"SUKU PERTAMA
First Quarter","SUKU KEDUA
Second Quarter","SUKU KETIGA
Third Quarter","SUKU KEEMPAT
Fourth Quarter",2022 Total,SUKU PERTAMA First Quarter,SUKU KEDUA Second Quarter,SUKU KETIGA Third Quarter,SUKU KEEMPAT Fourth Quarter,2023 Total,SUKU PERTAMA First Quarter,SUKU KEDUA Second Quarter,SUKU KETIGA Third Quarter,SUKU KEEMPAT Fourth Quarter,2024 Total,SUKU PERTAMA First Quarter,SUKU KEDUA Second Quarter,2025 Total
KLIA,"202,360","201,228","200,831","68,540","202,360","116,952","177,665","206,106",,,,,,,,,,,,,"11,122","11,876","12,498","20,138",,"22,255","25,240","31,469","37,988",,"40,656","45,050","44,821","47,138",,"48,091","51,360","53,965","52,690",,"55,260","56,975",
KLIA2,"183,694","197,524","206,484","55,887","183,694","81,074","141,353","158,833",,,,,,,,,,,,,"2,611","2,340","1,723","10,549",,"13,854","17,525","22,729","26,966",,"30,901","34,329","39,715","36,408",,"36,340","39,415","41,352","41,726",,"41,249","42,613",
SUBANG,"67,351","73,462","78,379","28,473","67,351","34,625","59,580","26,098",,,,,,,,,,,,,"3,336","3,039","2,725","6,828",,"8,140","10,882","12,895","14,323",,"14,425","15,023","15,034","15,098",,"14,632","15,674","15,787","16,064",,"16,139","16,026",
PULAU PINANG,"69,157","77,516","82,113","28,795","69,157","55,462","58,409","62,157",,,,,,,,,,,,,"3,470","4,083","3,540","8,976",,"10,980","12,216","13,253","13,617",,"13,741","14,900","15,422","14,346",,"15,105","15,141","16,600","16,414",,"18,113","17,102",
KOTA KINABALU,"71,922","54,177","53,598","24,997","71,922","53,349","45,598","63,260",,,,,,,,,,,,,"3,464","3,442","3,870","7,363",,"9,286","10,433","10,821","11,732",,"10,960","11,562","11,861","11,215",,"11,015","11,769","12,049","12,114",,"11,271","12,346",
KUCHING,"48,035","23,708","25,673","10,386","48,035","40,056","19,219","46,947",,,,,,,,,,,,,"1,012",452,702,"5,317",,"5,673","4,626","5,278","5,081",,"4,906","5,068","4,854","4,391",,"4,256","4,544","4,852","4,526",,"4,614","5,157",
LANGKAWI,"24,807","52,030","58,313","21,464","24,807","23,277","42,029","18,178",,,,,,,,,,,,,"2,335","1,803",942,"3,908",,"8,449","7,995","7,093","9,561",,"9,576","10,036","10,931","11,486",,"9,922","10,257","10,677","27,902",,"10,586","11,868",
JOHOR BHARU,"46,497","22,361","23,720","13,089","46,497","35,683","18,394","58,758",,,,,,,,,,,,,"1,980","1,804","1,286","4,329",,"5,140","4,620","4,573","4,270",,"4,482","5,041","4,864","4,007",,"3,712","3,931","4,100","4,148",,"4,157","4,434",
KOTA BHARU,"27,067","3,932","3,788","1,304","27,067","14,918","3,984","15,891",,,,,,,,,,,,,203,124,224,438,,531,638,883,996,,"1,049",995,942,998,,926,930,"1,019",999,,"1,089","1,048",
IPOH,"3,632","10,462","10,784","4,958",3632,"4,930","6,172","3,874",,,,,,,,,,,,,595,620,405,"1,563",,"1,944","2,348","2,037","1,746",,"1,419","1,862","1,651","1,240",,"1,116","1,706","1,671","1,222",,"1,289","1,584",
KUALA TERENGGANU,"11,314","9,544","10,312","4,288","11,314","6,710","5,461","5,715",,,,,,,,,,,,,562,564,318,"1,592",,"1,778","1,946","1,534","1,472",,"1,264","1,526","1,429","1,242",,"1,237","1,350","1,131","1,055",,"1,218","1,404",
ALOR SETAR,"10,801","1,480","2,502",478,"10,801","4,219",612,"4,773",,,,,,,,,,,,,-,-,-,-,,-,-,76,372,,376,194,42,-,,-,-,-,102,,"1,059",138,
MELAKA,"1,714","50,125","52,082","28,769",1714,"10,411","33,771",102,,,,,,,,,,,,,"4,349","4,798","3,742","8,650",,"9,799","11,831","10,847","10,509",,"8,925","9,500","8,060","7,286",,"6,603","6,280","6,375","6,840",,"7,036","6,897",
KUANTAN,"2,698","2,818","3,849",977,2698,"1,169","1,775","1,570",,,,,,,,,,,,,32,38,28,210,,255,268,268,378,,385,454,469,467,,392,372,364,442,,419,397,
TIOMAN,0,0,0,0,0,541,430,0,,,,,,,,,,,,,-,-,-,-,,4,79,326,132,,120,136,134,40,,-,-,-,-,,-,-,
PANGKOR,0,0,0,0,0,90,0,0,,,,,,,,,,,,,-,-,-,4,,74,16,-,-,,-,-,-,-,,-,-,-,-,,-,-,
REDANG,0,6,0,297,0,753,596,340,,,,,,,,,,,,,31,32,22,79,,115,180,334,124,,101,232,207,56,,81,87,128,44,,111,94,
LABUAN,"10,134","10,617","12,110","5,995","10,134","7,920","7,427","7,834",,,,,,,,,,,,,708,691,656,"1,537",,"1,774","2,143","2,053","1,950",,"1,854","1,919","1,805","1,849",,"2,033","1,992","1,875","1,934",,"2,088","1,977",
LAHAD DATU,"3,014","2,902","4,620","2,508",3014,"3,246","3,392","3,725",,,,,,,,,,,,,348,392,414,648,,738,840,814,854,,846,874,802,870,,968,914,905,938,,936,955,
SANDAKAN,"9,901","10,571","11,401","5,272","9,901","7,228","7,242","7,709",,,,,,,,,,,,,514,575,339,"1,542",,"1,807","1,730","1,756","1,935",,"1,777","1,856","1,872","1,737",,"1,861","1,964","1,934","1,950",,"2,081","2,493",
TAWAU,"11,763","14,353","14,633","6,377","11,763","10,995","11,498","12,991",,,,,,,,,,,,,"1,006","1,035",768,"2,275",,"2,692","2,708","2,871","2,724",,"2,530","3,116","3,154","2,698",,"2,856","3,111","3,705","3,319",,"3,599","4,039",
BINTULU,"11,526","12,654","12,439","6,248","11,526","8,013","8,665","8,050",,,,,,,,,,,,,736,626,660,"1,498",,"1,822","1,889","2,012","2,290",,"2,035","2,182","2,222","2,226",,"1,919","1,958","2,035","2,138",,"2,164","2,468",
MIRI,"38,392","42,527","42,077","24,826","38,392","35,203","37,521","36,206",,,,,,,,,,,,,"4,055","4,209","4,422","7,112",,"8,042","8,444","9,092","9,625",,"9,111","9,677","9,502","9,231",,"9,205","9,068","9,067","8,866",,"9,235","9,799",
SIBU,"16,588","18,573","16,748","7,122","16,588","12,008","13,603","13,248",,,,,,,,,,,,,636,574,574,"1,739",,"2,754","3,039","3,001","3,214",,"3,548","3,572","3,446","3,037",,"3,255","3,381","3,320","3,292",,"3,498","3,890",
MULU,"2,221","2,318","2,798","1,202",2221,"2,720","2,824","2,820",,,,,,,,,,,,,72,146,86,418,,642,662,694,722,,678,704,730,712,,710,696,718,696,,688,704,
LIMBANG,"1,974","2,240","3,110","2,370",1974,"3,844","3,274","3,224",,,,,,,,,,,,,478,476,546,766,,980,"1,060","1,016",788,,750,874,876,774,,853,804,773,794,,831,798,
MUKAH,0,0,0,0,0,"3,514","3,550","3,541",,,,,,,,,,,,,,108,678,908,,866,888,874,886,,860,892,932,866,,880,880,887,894,,857,857,
