City1,Lat1,Long1,City2,Lat2,Long2,Year,Passenger_Trips,Seats
Alor Setar,6.18967,100.398,Kuala Lumpur,2.74558,101.71,2017,7,459900
Kota Kinabalu,5.93721,116.051,Kuala Lumpur,2.74558,101.71,2017,35,2376150
Kota Kinabalu,5.93721,116.051,Johor Bahru,1.64131,103.67,2017,3,203670
Kota Kinabalu,5.93721,116.051,Penang,5.29714,100.277,2017,2,135780
Kota Kinabalu,5.93721,116.051,Kota Baharu,6.16685,102.293,2017,1,67890
Kota Kinabalu,5.93721,116.051,Miri,4.32201,113.987,2017,3,197100
Kota Kinabalu,5.93721,116.051,Tawau,4.32016,118.128,2017,5,339450
Kota Kinabalu,5.93721,116.051,Kuching,1.4847,110.347,2017,3,203670
Kota Kinabalu,5.93721,116.051,Sandakan,5.9009,118.059,2017,3,197100
Bintulu,3.12385,113.02,Kuala Lumpur,2.74558,101.71,2017,5,339450
Bintulu,3.12385,113.02,Kuching,1.4847,110.347,2017,5,328500
Johor Bahru,1.64131,103.67,Miri,4.32201,113.987,2017,1,65700
Johor Bahru,1.64131,103.67,Sibu,2.2616,111.985,2017,3,203670
Johor Bahru,1.64131,103.67,Kota Kinabalu,5.93721,116.051,2017,3,412815
Johor Bahru,1.64131,103.67,Kuching,1.4847,110.347,2017,5,328500
Johor Bahru,1.64131,103.67,Tawau,4.32016,118.128,2017,1,65700
Johor Bahru,1.64131,103.67,Kuala Lumpur,2.74558,101.71,2017,11,722700
Johor Bahru,1.64131,103.67,Penang,5.29714,100.277,2017,4,262800
Johor Bahru,1.64131,103.67,Langkawi,6.32973,99.7287,2017,1,65700
Kota Baharu,6.16685,102.293,Kota Kinabalu,5.93721,116.051,2017,1,65700
Kota Baharu,6.16685,102.293,Kuching,1.4847,110.347,2017,1,67890
Kota Baharu,6.16685,102.293,Kuala Lumpur,2.74558,101.71,2017,11,746790
Kuching,1.4847,110.347,Kuala Lumpur,2.74558,101.71,2017,25,2226500
Kuching,1.4847,110.347,Johor Bahru,1.64131,103.67,2017,5,445300
Kuching,1.4847,110.347,Penang,5.29714,100.277,2017,2,135780
Kuching,1.4847,110.347,Kota Baharu,6.16685,102.293,2017,1,65700
Kuching,1.4847,110.347,Bintulu,3.12385,113.02,2017,5,339450
Kuching,1.4847,110.347,Miri,4.32201,113.987,2017,6,534360
Kuching,1.4847,110.347,Kota Kinabalu,5.93721,116.051,2017,4,271560
Kuching,1.4847,110.347,Sibu,2.2616,111.985,2017,3,203670
Kuala Lumpur,2.74558,101.71,Kota Kinabalu,5.93721,116.051,2017,32,2172480
Kuala Lumpur,2.74558,101.71,Labuan,5.30068,115.25,2017,5,339450
Kuala Lumpur,2.74558,101.71,Sandakan,5.9009,118.059,2017,4,271560
Kuala Lumpur,2.74558,101.71,Kuching,1.4847,110.347,2017,26,1708200
Kuala Lumpur,2.74558,101.71,Bintulu,3.12385,113.02,2017,5,328500
Kuala Lumpur,2.74558,101.71,Miri,4.32201,113.987,2017,9,591300
Kuala Lumpur,2.74558,101.71,Tawau,4.32016,118.128,2017,8,525600
Kuala Lumpur,2.74558,101.71,Sibu,2.2616,111.985,2017,10,657000
Kuala Lumpur,2.74558,101.71,Alor Setar,6.18967,100.398,2017,8,712480
Kuala Lumpur,2.74558,101.71,Johor Bahru,1.64131,103.67,2017,10,678900
Kuala Lumpur,2.74558,101.71,Penang,5.29714,100.277,2017,25,1697250
Kuala Lumpur,2.74558,101.71,Kuala Terengganu,5.38264,103.103,2017,5,339450
Kuala Lumpur,2.74558,101.71,Langkawi,6.32973,99.7287,2017,21,1425690
Kuala Lumpur,2.74558,101.71,Kota Baharu,6.16685,102.293,2017,11,746790
Labuan,5.30068,115.25,Kuala Lumpur,2.74558,101.71,2017,5,328500
Langkawi,6.32973,99.7287,Penang,5.29714,100.277,2017,3,203670
Langkawi,6.32973,99.7287,Kuala Lumpur,2.74558,101.71,2017,20,1314000
Langkawi,6.32973,99.7287,Johor Bahru,1.64131,103.67,2017,1,65700
Miri,4.32201,113.987,Johor Bahru,1.64131,103.67,2017,1,65700
Miri,4.32201,113.987,Kuala Lumpur,2.74558,101.71,2017,9,591300
Miri,4.32201,113.987,Kota Kinabalu,5.93721,116.051,2017,3,197100
Miri,4.32201,113.987,Kuching,1.4847,110.347,2017,6,394200
Penang,5.29714,100.277,Kota Kinabalu,5.93721,116.051,2017,2,135780
Penang,5.29714,100.277,Kuching,1.4847,110.347,2017,2,135780
Penang,5.29714,100.277,Kuala Lumpur,2.74558,101.71,2017,26,1765140
Penang,5.29714,100.277,Langkawi,6.32973,99.7287,2017,3,267180
Penang,5.29714,100.277,Johor Bahru,1.64131,103.67,2017,4,262800
Sibu,2.2616,111.985,Johor Bahru,1.64131,103.67,2017,3,203670
Sibu,2.2616,111.985,Kuala Lumpur,2.74558,101.71,2017,10,657000
Sibu,2.2616,111.985,Kuching,1.4847,110.347,2017,5,445300
Sandakan,5.9009,118.059,Kuala Lumpur,2.74558,101.71,2017,3,203670
Sandakan,5.9009,118.059,Kota Kinabalu,5.93721,116.051,2017,4,271560
Kuala Terengganu,5.38264,103.103,Kuala Lumpur,2.74558,101.71,2017,6,407340
Tawau,4.32016,118.128,Johor Bahru,1.64131,103.67,2017,1,67890
Tawau,4.32016,118.128,Kuala Lumpur,2.74558,101.71,2017,8,543120
Tawau,4.32016,118.128,Kota Kinabalu,5.93721,116.051,2017,5,339450
Alor Setar,6.18967,100.398,Kuala Lumpur,2.74558,101.71,2018,9,591300
Alor Setar,6.18967,100.398,Johor Bahru,1.64131,103.67,2018,1,67890
Kota Kinabalu,5.93721,116.051,Kuala Lumpur,2.74558,101.71,2018,37,2430900
Kota Kinabalu,5.93721,116.051,Johor Bahru,1.64131,103.67,2018,3,203670
Kota Kinabalu,5.93721,116.051,Penang,5.29714,100.277,2018,2,131400
Kota Kinabalu,5.93721,116.051,Kota Baharu,6.16685,102.293,2018,1,65700
Kota Kinabalu,5.93721,116.051,Miri,4.32201,113.987,2018,4,262800
Kota Kinabalu,5.93721,116.051,Sibu,2.2616,111.985,2018,1,67890
Kota Kinabalu,5.93721,116.051,Tawau,4.32016,118.128,2018,7,459900
Kota Kinabalu,5.93721,116.051,Bintulu,3.12385,113.02,2018,1,65700
Kota Kinabalu,5.93721,116.051,Kuching,1.4847,110.347,2018,6,407340
Kota Kinabalu,5.93721,116.051,Sandakan,5.9009,118.059,2018,5,328500
Bintulu,3.12385,113.02,Kuala Lumpur,2.74558,101.71,2018,5,328500
Bintulu,3.12385,113.02,Kuching,1.4847,110.347,2018,5,328500
Bintulu,3.12385,113.02,Kota Kinabalu,5.93721,116.051,2018,1,67890
Ipoh,4.56797,101.092,Johor Bahru,1.64131,103.67,2018,1,67890
Johor Bahru,1.64131,103.67,Miri,4.32201,113.987,2018,1,137605
Johor Bahru,1.64131,103.67,Sibu,2.2616,111.985,2018,3,197100
Johor Bahru,1.64131,103.67,Kota Kinabalu,5.93721,116.051,2018,3,197100
Johor Bahru,1.64131,103.67,Kuching,1.4847,110.347,2018,5,328500
Johor Bahru,1.64131,103.67,Tawau,4.32016,118.128,2018,1,65700
Johor Bahru,1.64131,103.67,Kuala Lumpur,2.74558,101.71,2018,15,985500
Johor Bahru,1.64131,103.67,Ipoh,4.56797,101.092,2018,1,65700
Johor Bahru,1.64131,103.67,Alor Setar,6.18967,100.398,2018,1,67890
Johor Bahru,1.64131,103.67,Penang,5.29714,100.277,2018,6,394200
Johor Bahru,1.64131,103.67,Langkawi,6.32973,99.7287,2018,2,131400
Kota Baharu,6.16685,102.293,Kota Kinabalu,5.93721,116.051,2018,1,67890
Kota Baharu,6.16685,102.293,Kuching,1.4847,110.347,2018,1,67890
Kota Baharu,6.16685,102.293,Kuala Lumpur,2.74558,101.71,2018,11,979660
Kuching,1.4847,110.347,Kuala Lumpur,2.74558,101.71,2018,28,1839600
Kuching,1.4847,110.347,Johor Bahru,1.64131,103.67,2018,5,445300
Kuching,1.4847,110.347,Penang,5.29714,100.277,2018,2,135780
