City1,Country1,Lat1,Long1,City2,Country2,Lat2,Long2,Year,Passenger_Trips,Seats
Guiyang,China,26.5385,106.801,Kuala Lumpur,Malaysia,2.74558,101.71,2024,2,137970
Guiyang,China,26.5385,106.801,Kuala Lumpur,Malaysia,2.74558,101.71,2025,2,137970
Kuala Lumpur,Malaysia,2.74558,101.71,Guiyang,China,26.5385,106.801,2024,2,137970
Kuala Lumpur,Malaysia,2.74558,101.71,Guiyang,China,26.5385,106.801,2025,2,137970
Sharjah,United Arab Emirates,25.3286,55.5172,Kuala Lumpur,Malaysia,2.74558,101.71,2023,2,156950
Sharjah,United Arab Emirates,25.3286,55.5172,Kuala Lumpur,Malaysia,2.74558,101.71,2024,2,156950
Sharjah,United Arab Emirates,25.3286,55.5172,Kuala Lumpur,Malaysia,2.74558,101.71,2025,2,156950
Kuala Lumpur,Malaysia,2.74558,101.71,Sharjah,United Arab Emirates,25.3286,55.5172,2023,2,156950
Kuala Lumpur,Malaysia,2.74558,101.71,Sharjah,United Arab Emirates,25.3286,55.5172,2024,2,156950
Kuala Lumpur,Malaysia,2.74558,101.71,Sharjah,United Arab Emirates,25.3286,55.5172,2025,2,156950
Sharjah,United Arab Emirates,25.3286,55.5172,Kuala Lumpur,Malaysia,2.74558,101.71,2023,2,156950
Sharjah,United Arab Emirates,25.3286,55.5172,Kuala Lumpur,Malaysia,2.74558,101.71,2024,2,156950
Sharjah,United Arab Emirates,25.3286,55.5172,Kuala Lumpur,Malaysia,2.74558,101.71,2025,2,156950
Kuala Lumpur,Malaysia,2.74558,101.71,Sharjah,United Arab Emirates,25.3286,55.5172,2023,2,156950
Kuala Lumpur,Malaysia,2.74558,101.71,Sharjah,United Arab Emirates,25.3286,55.5172,2024,2,156950
Kuala Lumpur,Malaysia,2.74558,101.71,Sharjah,United Arab Emirates,25.3286,55.5172,2025,2,156950
Almaty,Kazakhstan,43.3521,77.0405,Kuala Lumpur,Malaysia,2.74558,101.71,2017,1,81395
Almaty,Kazakhstan,43.3521,77.0405,Kuala Lumpur,Malaysia,2.74558,101.71,2018,1,81395
Almaty,Kazakhstan,43.3521,77.0405,Kuala Lumpur,Malaysia,2.74558,101.71,2019,1,81395
Almaty,Kazakhstan,43.3521,77.0405,Kuala Lumpur,Malaysia,2.74558,101.71,2020,1,81395
Kuala Lumpur,Malaysia,2.74558,101.71,Almaty,Kazakhstan,43.3521,77.0405,2017,1,81395
Kuala Lumpur,Malaysia,2.74558,101.71,Almaty,Kazakhstan,43.3521,77.0405,2018,1,81395
Kuala Lumpur,Malaysia,2.74558,101.71,Almaty,Kazakhstan,43.3521,77.0405,2019,1,81395
Kuala Lumpur,Malaysia,2.74558,101.71,Almaty,Kazakhstan,43.3521,77.0405,2020,1,81395
Beijing,China,40.0725,116.598,Kuala Lumpur,Malaysia,2.74558,101.71,2017,3,329595
Beijing,China,40.0725,116.598,Kuala Lumpur,Malaysia,2.74558,101.71,2018,3,329595
Beijing,China,40.0725,116.598,Kuala Lumpur,Malaysia,2.74558,101.71,2019,2,219730
Beijing,China,40.0725,116.598,Kuala Lumpur,Malaysia,2.74558,101.71,2020,2,219730
Beijing,China,40.0725,116.598,Kuala Lumpur,Malaysia,2.74558,101.71,2021,1,109865
Beijing,China,40.0725,116.598,Kuala Lumpur,Malaysia,2.74558,101.71,2022,1,109865
Beijing,China,40.0725,116.598,Kuala Lumpur,Malaysia,2.74558,101.71,2023,1,109865
Beijing,China,40.0725,116.598,Kuala Lumpur,Malaysia,2.74558,101.71,2024,1,109865
Beijing,China,40.0725,116.598,Kuala Lumpur,Malaysia,2.74558,101.71,2025,1,109865
Kuala Lumpur,Malaysia,2.74558,101.71,Beijing,China,40.0725,116.598,2017,3,329595
Kuala Lumpur,Malaysia,2.74558,101.71,Beijing,China,40.0725,116.598,2018,3,329595
Kuala Lumpur,Malaysia,2.74558,101.71,Beijing,China,40.0725,116.598,2019,2,219730
Kuala Lumpur,Malaysia,2.74558,101.71,Beijing,China,40.0725,116.598,2020,2,115340
Kuala Lumpur,Malaysia,2.74558,101.71,Beijing,China,40.0725,116.598,2021,1,57670
Kuala Lumpur,Malaysia,2.74558,101.71,Beijing,China,40.0725,116.598,2022,1,57670
Kuala Lumpur,Malaysia,2.74558,101.71,Beijing,China,40.0725,116.598,2023,1,57670
Kuala Lumpur,Malaysia,2.74558,101.71,Beijing,China,40.0725,116.598,2024,1,57670
Kuala Lumpur,Malaysia,2.74558,101.71,Beijing,China,40.0725,116.598,2025,1,57670
Chengdu Tianfu,China,30.319,104.445,Kuala Lumpur,Malaysia,2.74558,101.71,2023,4,439460
Chengdu Tianfu,China,30.319,104.445,Kuala Lumpur,Malaysia,2.74558,101.71,2024,4,439460
Chengdu Tianfu,China,30.319,104.445,Kuala Lumpur,Malaysia,2.74558,101.71,2025,4,439460
Kuala Lumpur,Malaysia,2.74558,101.71,Chengdu Tianfu,China,30.319,104.445,2023,4,439460
Kuala Lumpur,Malaysia,2.74558,101.71,Chengdu Tianfu,China,30.319,104.445,2024,4,439460
Kuala Lumpur,Malaysia,2.74558,101.71,Chengdu Tianfu,China,30.319,104.445,2025,4,439460
New Delhi,India,28.5665,77.1031,Kuala Lumpur,Malaysia,2.74558,101.71,2024,6,383250
New Delhi,India,28.5665,77.1031,Kuala Lumpur,Malaysia,2.74558,101.71,2025,6,383250
Kuala Lumpur,Malaysia,2.74558,101.71,New Delhi,India,28.5665,77.1031,2024,6,383250
Kuala Lumpur,Malaysia,2.74558,101.71,New Delhi,India,28.5665,77.1031,2025,6,383250
Kuala Lumpur,Malaysia,2.74558,101.71,Chennai,India,12.99,80.1693,2021,3,205860
Kuala Lumpur,Malaysia,2.74558,101.71,Chennai,India,12.99,80.1693,2022,5,343100
Chennai,India,12.99,80.1693,Kuala Lumpur,Malaysia,2.74558,101.71,2021,3,205860
Chennai,India,12.99,80.1693,Kuala Lumpur,Malaysia,2.74558,101.71,2022,5,343100
Kuala Lumpur,Malaysia,2.74558,101.71,Tiruchirappalli,India,10.7654,78.7097,2021,2,137240
Kuala Lumpur,Malaysia,2.74558,101.71,Tiruchirappalli,India,10.7654,78.7097,2022,6,411720
Tiruchirappalli,India,10.7654,78.7097,Kuala Lumpur,Malaysia,2.74558,101.71,2021,2,137240
Tiruchirappalli,India,10.7654,78.7097,Kuala Lumpur,Malaysia,2.74558,101.71,2022,6,411720
Kuala Lumpur,Malaysia,2.74558,101.71,New Delhi,India,28.5665,77.1031,2020,7,480340
Kuala Lumpur,Malaysia,2.74558,101.71,New Delhi,India,28.5665,77.1031,2021,6,411720
New Delhi,India,28.5665,77.1031,Kuala Lumpur,Malaysia,2.74558,101.71,2020,7,480340
New Delhi,India,28.5665,77.1031,Kuala Lumpur,Malaysia,2.74558,101.71,2021,6,411720
Kuala Lumpur,Malaysia,2.74558,101.71,New Delhi,India,28.5665,77.1031,2020,7,480340
Kuala Lumpur,Malaysia,2.74558,101.71,New Delhi,India,28.5665,77.1031,2021,6,411720
New Delhi,India,28.5665,77.1031,Kuala Lumpur,Malaysia,2.74558,101.71,2020,7,480340
New Delhi,India,28.5665,77.1031,Kuala Lumpur,Malaysia,2.74558,101.71,2021,6,411720
Kuala Lumpur,Malaysia,2.74558,101.71,Macao,Macao,22.1496,113.592,2024,1,57670
Kuala Lumpur,Malaysia,2.74558,101.71,Macao,Macao,22.1496,113.592,2025,1,57670
Macao,Macao,22.1496,113.592,Kuala Lumpur,Malaysia,2.74558,101.71,2024,1,57670
Macao,Macao,22.1496,113.592,Kuala Lumpur,Malaysia,2.74558,101.71,2025,1,57670
Singapore,Singapore,1.35019,103.994,Kuala Lumpur,Malaysia,2.74558,101.71,2017,41,3516775
Singapore,Singapore,1.35019,103.994,Kuala Lumpur,Malaysia,2.74558,101.71,2018,42,3602550
Singapore,Singapore,1.35019,103.994,Kuala Lumpur,Malaysia,2.74558,101.71,2019,44,3774100
Kuala Lumpur,Malaysia,2.74558,101.71,Singapore,Singapore,1.35019,103.994,2017,41,4309920
Kuala Lumpur,Malaysia,2.74558,101.71,Singapore,Singapore,1.35019,103.994,2018,41,4309920
Kuala Lumpur,Malaysia,2.74558,101.71,Singapore,Singapore,1.35019,103.994,2019,47,4940640
Bangkok,Thailand,13.9126,100.607,Kuala Lumpur,Malaysia,2.74558,101.71,2017,10,657000
Bangkok,Thailand,13.9126,100.607,Kuala Lumpur,Malaysia,2.74558,101.71,2018,10,657000
Bangkok,Thailand,13.9126,100.607,Kuala Lumpur,Malaysia,2.74558,101.71,2019,10,657000
Bangkok,Thailand,13.9126,100.607,Kuala Lumpur,Malaysia,2.74558,101.71,2020,10,657000
Bangkok,Thailand,13.9126,100.607,Kuala Lumpur,Malaysia,2.74558,101.71,2023,10,657000
Bangkok,Thailand,13.9126,100.607,Kuala Lumpur,Malaysia,2.74558,101.71,2024,10,657000
Bangkok,Thailand,13.9126,100.607,Kuala Lumpur,Malaysia,2.74558,101.71,2025,10,657000
Singapore,Singapore,1.35019,103.994,Sibu,Malaysia,2.2616,111.985,2022,1,65700
Singapore,Singapore,1.35019,103.994,Sibu,Malaysia,2.2616,111.985,2023,1,65700
Singapore,Singapore,1.35019,103.994,Sibu,Malaysia,2.2616,111.985,2024,2,131400
Singapore,Singapore,1.35019,103.994,Sibu,Malaysia,2.2616,111.985,2025,2,131400
Sibu,Malaysia,2.2616,111.985,Singapore,Singapore,1.35019,103.994,2022,1,65700
Sibu,Malaysia,2.2616,111.985,Singapore,Singapore,1.35019,103.994,2023,1,65700
Sibu,Malaysia,2.2616,111.985,Singapore,Singapore,1.35019,103.994,2024,2,131400
Sibu,Malaysia,2.2616,111.985,Singapore,Singapore,1.35019,103.994,2025,2,131400
Kota Kinabalu,Malaysia,5.93721,116.051,Guangzhou,China,23.3924,113.299,2017,3,197100
Kota Kinabalu,Malaysia,5.93721,116.051,Guangzhou,China,23.3924,113.299,2018,4,262800
Kota Kinabalu,Malaysia,5.93721,116.051,Guangzhou,China,23.3924,113.299,2019,4,262800
Kota Kinabalu,Malaysia,5.93721,116.051,Guangzhou,China,23.3924,113.299,2020,2,131400
Kota Kinabalu,Malaysia,5.93721,116.051,Guangzhou,China,23.3924,113.299,2023,3,197100
Kota Kinabalu,Malaysia,5.93721,116.051,Guangzhou,China,23.3924,113.299,2024,3,197100
Kota Kinabalu,Malaysia,5.93721,116.051,Guangzhou,China,23.3924,113.299,2025,3,197100
Guangzhou,China,23.3924,113.299,Kota Kinabalu,Malaysia,5.93721,116.051,2017,3,197100
Guangzhou,China,23.3924,113.299,Kota Kinabalu,Malaysia,5.93721,116.051,2018,4,262800
Guangzhou,China,23.3924,113.299,Kota Kinabalu,Malaysia,5.93721,116.051,2019,4,262800
Guangzhou,China,23.3924,113.299,Kota Kinabalu,Malaysia,5.93721,116.051,2020,2,131400
Guangzhou,China,23.3924,113.299,Kota Kinabalu,Malaysia,5.93721,116.051,2023,3,197100
Guangzhou,China,23.3924,113.299,Kota Kinabalu,Malaysia,5.93721,116.051,2024,3,197100
Guangzhou,China,23.3924,113.299,Kota Kinabalu,Malaysia,5.93721,116.051,2025,3,197100
Chennai,India,12.99,80.1693,Kuala Lumpur,Malaysia,2.74558,101.71,2017,5,328500
Chennai,India,12.99,80.1693,Kuala Lumpur,Malaysia,2.74558,101.71,2018,5,328500
Chennai,India,12.99,80.1693,Kuala Lumpur,Malaysia,2.74558,101.71,2019,5,328500
Chennai,India,12.99,80.1693,Kuala Lumpur,Malaysia,2.74558,101.71,2020,5,328500
Chennai,India,12.99,80.1693,Kuala Lumpur,Malaysia,2.74558,101.71,2022,5,328500
Chennai,India,12.99,80.1693,Kuala Lumpur,Malaysia,2.74558,101.71,2023,4,262800
Chennai,India,12.99,80.1693,Kuala Lumpur,Malaysia,2.74558,101.71,2024,4,262800
Chennai,India,12.99,80.1693,Kuala Lumpur,Malaysia,2.74558,101.71,2025,4,262800
Kuala Lumpur,Malaysia,2.74558,101.71,Chennai,India,12.99,80.1693,2017,5,328500
Kuala Lumpur,Malaysia,2.74558,101.71,Chennai,India,12.99,80.1693,2018,5,688025
Kuala Lumpur,Malaysia,2.74558,101.71,Chennai,India,12.99,80.1693,2019,5,688025
Kuala Lumpur,Malaysia,2.74558,101.71,Chennai,India,12.99,80.1693,2020,5,688025
Kuala Lumpur,Malaysia,2.74558,101.71,Chennai,India,12.99,80.1693,2022,5,688025
Kuala Lumpur,Malaysia,2.74558,101.71,Chennai,India,12.99,80.1693,2023,4,550420
Kuala Lumpur,Malaysia,2.74558,101.71,Chennai,India,12.99,80.1693,2024,4,550420
Kuala Lumpur,Malaysia,2.74558,101.71,Chennai,India,12.99,80.1693,2025,4,550420
Bangalore,India,13.1979,77.7063,Kuala Lumpur,Malaysia,2.74558,101.71,2017,4,356240
Bangalore,India,13.1979,77.7063,Kuala Lumpur,Malaysia,2.74558,101.71,2018,4,356240
Bangalore,India,13.1979,77.7063,Kuala Lumpur,Malaysia,2.74558,101.71,2019,4,356240
Bangalore,India,13.1979,77.7063,Kuala Lumpur,Malaysia,2.74558,101.71,2020,4,356240
Bangalore,India,13.1979,77.7063,Kuala Lumpur,Malaysia,2.74558,101.71,2022,5,445300
Bangalore,India,13.1979,77.7063,Kuala Lumpur,Malaysia,2.74558,101.71,2023,4,356240
Bangalore,India,13.1979,77.7063,Kuala Lumpur,Malaysia,2.74558,101.71,2024,4,356240
Bangalore,India,13.1979,77.7063,Kuala Lumpur,Malaysia,2.74558,101.71,2025,4,356240
Kuala Lumpur,Malaysia,2.74558,101.71,Bangalore,India,13.1979,77.7063,2017,4,356240
Kuala Lumpur,Malaysia,2.74558,101.71,Bangalore,India,13.1979,77.7063,2018,4,356240
Kuala Lumpur,Malaysia,2.74558,101.71,Bangalore,India,13.1979,77.7063,2019,4,356240
Kuala Lumpur,Malaysia,2.74558,101.71,Bangalore,India,13.1979,77.7063,2020,4,356240
Kuala Lumpur,Malaysia,2.74558,101.71,Bangalore,India,13.1979,77.7063,2022,5,445300
Kuala Lumpur,Malaysia,2.74558,101.71,Bangalore,India,13.1979,77.7063,2023,4,356240
Kuala Lumpur,Malaysia,2.74558,101.71,Bangalore,India,13.1979,77.7063,2024,4,356240
Kuala Lumpur,Malaysia,2.74558,101.71,Bangalore,India,13.1979,77.7063,2025,4,356240
Dhaka,Bangladesh,23.8433,90.3978,Kuala Lumpur,Malaysia,2.74558,101.71,2023,12,814680
Dhaka,Bangladesh,23.8433,90.3978,Kuala Lumpur,Malaysia,2.74558,101.71,2024,12,814680
Kuala Lumpur,Malaysia,2.74558,101.71,Taoyuan,Taiwan,25.0777,121.233,2018,11,746790
Taoyuan,Taiwan,25.0777,121.233,Kuala Lumpur,Malaysia,2.74558,101.71,2018,11,746790
Kuala Lumpur,Malaysia,2.74558,101.71,Seoul,South Korea,37.4633,126.44,2017,7,459900
Kuala Lumpur,Malaysia,2.74558,101.71,Manila,Philippines,14.5086,121.02,2017,7,459900
Kuala Lumpur,Malaysia,2.74558,101.71,Manila,Philippines,14.5086,121.02,2018,8,525600
Kuala Lumpur,Malaysia,2.74558,101.71,Manila,Philippines,14.5086,121.02,2019,9,591300
Kuala Lumpur,Malaysia,2.74558,101.71,Manila,Philippines,14.5086,121.02,2020,8,525600
Kuala Lumpur,Malaysia,2.74558,101.71,Manila,Philippines,14.5086,121.02,2022,8,525600
Kuala Lumpur,Malaysia,2.74558,101.71,Manila,Philippines,14.5086,121.02,2023,11,722700
Kuala Lumpur,Malaysia,2.74558,101.71,Manila,Philippines,14.5086,121.02,2024,9,591300
Kuala Lumpur,Malaysia,2.74558,101.71,Manila,Philippines,14.5086,121.02,2025,9,591300
Manila,Philippines,14.5086,121.02,Kuala Lumpur,Malaysia,2.74558,101.71,2017,7,459900
Manila,Philippines,14.5086,121.02,Kuala Lumpur,Malaysia,2.74558,101.71,2018,8,525600
Manila,Philippines,14.5086,121.02,Kuala Lumpur,Malaysia,2.74558,101.71,2019,9,591300
Manila,Philippines,14.5086,121.02,Kuala Lumpur,Malaysia,2.74558,101.71,2020,8,525600
Manila,Philippines,14.5086,121.02,Kuala Lumpur,Malaysia,2.74558,101.71,2022,8,525600
Manila,Philippines,14.5086,121.02,Kuala Lumpur,Malaysia,2.74558,101.71,2023,11,722700
Manila,Philippines,14.5086,121.02,Kuala Lumpur,Malaysia,2.74558,101.71,2024,9,591300
Manila,Philippines,14.5086,121.02,Kuala Lumpur,Malaysia,2.74558,101.71,2025,9,591300
Kuala Lumpur,Malaysia,2.74558,101.71,Bangkok,Thailand,13.9126,100.607,2017,10,657000
Kuala Lumpur,Malaysia,2.74558,101.71,Bangkok,Thailand,13.9126,100.607,2018,10,657000
Kuala Lumpur,Malaysia,2.74558,101.71,Bangkok,Thailand,13.9126,100.607,2019,10,657000
Kuala Lumpur,Malaysia,2.74558,101.71,Bangkok,Thailand,13.9126,100.607,2020,10,657000
Kuala Lumpur,Malaysia,2.74558,101.71,Bangkok,Thailand,13.9126,100.607,2021,1,65700
Kuala Lumpur,Malaysia,2.74558,101.71,Bangkok,Thailand,13.9126,100.607,2022,9,591300
Kuala Lumpur,Malaysia,2.74558,101.71,Bangkok,Thailand,13.9126,100.607,2023,10,657000
Kuala Lumpur,Malaysia,2.74558,101.71,Bangkok,Thailand,13.9126,100.607,2024,10,657000
Kuala Lumpur,Malaysia,2.74558,101.71,Bangkok,Thailand,13.9126,100.607,2025,10,657000
